dataset_name;sampler_name;subsampler;label_propagation_uncertainty_treshold;hidden_dim_size;dropout;distance_loss_weight;learning_rate;seed;Labeled accuracy;Labeled macro-f1;Labeled confusion;Labeled class accuracies;Unlabeled accuracy;Unlabeled macro-f1;Unlabeled confusion;Unlabeled class accuracies;Test accuracy;Test macro-f1;Test confusion;Test class accuracies;Budget used;Class distrubution
Cora;own;random;0.2;64;0.5;1;0.005;20795212.0;0.0;0.0;[[]];[];0.04336329984135378;0.03544607648928664;[[15, 1, 5, 19, 3, 3, 20, 94, 6, 62, 17], [15, 0, 0, 3, 0, 0, 7, 110, 1, 11, 4], [2, 33, 2, 2, 0, 2, 5, 17, 0, 227, 2], [30, 15, 19, 35, 21, 45, 117, 141, 5, 116, 28], [8, 16, 14, 34, 6, 7, 9, 94, 1, 89, 20], [16, 0, 0, 57, 2, 6, 20, 75, 0, 31, 1], [1, 1, 0, 8, 5, 4, 18, 50, 0, 38, 0], [0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]];[0.1724137931034483, 0.0, 0.05, 0.22151898734177214, 0.16216216216216217, 0.08955223880597014, 0.09183673469387756, 0.0, 0.0, 0.0, 0.0];0.04039167686658507;0.03453114193878958;[[5, 1, 0, 7, 4, 0, 7, 49, 0, 30, 3], [2, 1, 0, 0, 0, 2, 3, 48, 0, 8, 2], [0, 15, 1, 0, 0, 1, 1, 10, 0, 97, 1], [14, 5, 10, 15, 12, 11, 42, 52, 4, 67, 14], [4, 9, 8, 21, 1, 1, 3, 37, 1, 31, 12], [4, 0, 0, 24, 0, 1, 5, 40, 1, 14, 1], [0, 1, 0, 1, 7, 0, 9, 20, 0, 17, 0], [0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]];[0.1724137931034483, 0.03125, 0.05263157894736842, 0.22058823529411764, 0.041666666666666664, 0.0625, 0.12857142857142856, 0.0, 0.0, 0.0, 0.0];0.0;[]
Cora;own;random;0.2;64;0.5;1;0.005;20795212.0;1.0;1.0;[[1, 0, 0, 0], [0, 3, 0, 0], [0, 0, 5, 0], [0, 0, 0, 2]];[1.0, 1.0, 1.0, 1.0];0.43138297872340425;0.3383059054630023;[[0, 10, 0, 15, 5, 0, 202], [0, 99, 0, 3, 0, 0, 50], [0, 9, 0, 8, 2, 0, 272], [0, 10, 0, 355, 51, 0, 155], [0, 5, 0, 20, 228, 0, 36], [0, 19, 0, 22, 4, 0, 160], [0, 1, 0, 8, 2, 0, 129]];[nan, 0.6470588235294118, nan, 0.8236658932714617, 0.7808219178082192, nan, 0.12848605577689243];0.4149326805385557;0.3271711568746956;[[0, 2, 0, 6, 1, 0, 97], [0, 39, 0, 4, 0, 0, 23], [0, 1, 0, 6, 0, 0, 119], [0, 5, 0, 148, 28, 0, 65], [0, 5, 0, 8, 102, 0, 13], [0, 7, 0, 6, 2, 0, 75], [0, 2, 0, 3, 0, 0, 50]];[nan, 0.639344262295082, nan, 0.8176795580110497, 0.7669172932330827, nan, 0.11312217194570136];11.0;[0, 1, 0, 3, 5, 0, 2]
Cora;own;random;0.2;64;0.5;1;0.005;20795212.0;1.0;1.0;[[2, 0, 0, 0, 0, 0], [0, 3, 0, 0, 0, 0], [0, 0, 7, 0, 0, 0], [0, 0, 0, 7, 0, 0], [0, 0, 0, 0, 1, 0], [0, 0, 0, 0, 0, 2]];[1.0, 1.0, 1.0, 1.0, 1.0, 1.0];0.6875334403424291;0.6028099481069651;[[0, 22, 15, 19, 8, 0, 166], [0, 120, 16, 8, 0, 0, 3], [0, 4, 281, 12, 0, 0, 3], [0, 19, 18, 459, 34, 3, 34], [0, 8, 0, 30, 226, 0, 23], [0, 13, 19, 14, 5, 92, 58], [0, 1, 3, 24, 2, 0, 107]];[nan, 0.6417112299465241, 0.7982954545454546, 0.8109540636042403, 0.8218181818181818, 0.968421052631579, 0.2715736040609137];0.6719706242350061;0.5863838781043974;[[0, 7, 13, 10, 3, 0, 73], [0, 50, 10, 6, 0, 0, 0], [0, 1, 115, 5, 1, 0, 4], [0, 8, 8, 193, 20, 0, 17], [0, 7, 0, 6, 110, 0, 5], [0, 7, 8, 4, 3, 39, 29], [0, 1, 5, 7, 0, 0, 42]];[nan, 0.6172839506172839, 0.7232704402515723, 0.8354978354978355, 0.8029197080291971, 1.0, 0.24705882352941178];22.0;[0, 2, 3, 7, 7, 1, 2]
Cora;own;random;0.2;64;0.5;1;0.005;20795212.0;1.0;1.0;[[2, 0, 0, 0, 0, 0, 0], [0, 2, 0, 0, 0, 0, 0], [0, 0, 4, 0, 0, 0, 0], [0, 0, 0, 11, 0, 0, 0], [0, 0, 0, 0, 8, 0, 0], [0, 0, 0, 0, 0, 3, 0], [0, 0, 0, 0, 0, 0, 3]];[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0];0.7696447793326158;0.7492869771516956;[[124, 5, 13, 8, 5, 19, 36], [3, 106, 18, 8, 1, 1, 0], [0, 2, 282, 3, 0, 0, 2], [11, 20, 34, 448, 14, 10, 34], [2, 5, 2, 44, 203, 9, 12], [2, 6, 22, 6, 3, 155, 18], [1, 2, 11, 26, 2, 8, 112]];[0.8671328671328671, 0.726027397260274, 0.7382198952879581, 0.8250460405156538, 0.8903508771929824, 0.7673267326732673, 0.5233644859813084];0.7331701346389229;0.7057014161090175;[[48, 3, 7, 8, 3, 12, 25], [0, 49, 10, 7, 0, 0, 0], [0, 0, 121, 4, 0, 0, 1], [10, 9, 19, 178, 6, 6, 18], [1, 5, 1, 15, 101, 5, 0], [0, 2, 11, 2, 1, 65, 9], [0, 2, 11, 3, 0, 2, 37]];[0.8135593220338984, 0.7, 0.6722222222222223, 0.8202764976958525, 0.9099099099099099, 0.7222222222222222, 0.4111111111111111];33.0;[2, 2, 4, 11, 8, 3, 3]
Cora;own;random;0.2;64;0.5;1;0.005;20795212.0;0.9714285714285714;0.9591836734693876;[[2, 0, 0, 0, 0, 0, 0], [0, 2, 0, 0, 0, 0, 0], [0, 0, 5, 0, 0, 0, 0], [0, 0, 0, 11, 0, 0, 0], [0, 0, 0, 0, 8, 0, 0], [0, 0, 0, 0, 0, 3, 1], [0, 0, 0, 0, 0, 0, 3]];[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 0.75];0.7570043103448276;0.6453038192273355;[[119, 6, 14, 9, 5, 23, 30, 0], [3, 101, 20, 10, 1, 1, 0, 0], [0, 2, 285, 4, 0, 1, 2, 0], [18, 17, 37, 429, 16, 15, 32, 2], [2, 5, 4, 50, 191, 14, 11, 0], [2, 6, 17, 6, 3, 170, 13, 1], [1, 5, 16, 15, 2, 10, 110, 0], [0, 0, 0, 0, 0, 0, 0, 0]];[0.8206896551724138, 0.7112676056338029, 0.7251908396946565, 0.8202676864244742, 0.8761467889908257, 0.7264957264957265, 0.5555555555555556, 0.0];0.7258261933904528;0.6988698027713411;[[48, 3, 8, 9, 3, 15, 20], [0, 48, 10, 8, 0, 0, 0], [0, 0, 121, 4, 0, 0, 1], [8, 7, 22, 173, 6, 10, 20], [1, 5, 4, 12, 100, 5, 1], [0, 4, 10, 2, 1, 68, 5], [0, 2, 14, 1, 0, 3, 35]];[0.8421052631578947, 0.6956521739130435, 0.6402116402116402, 0.8277511961722488, 0.9090909090909091, 0.6732673267326733, 0.4268292682926829];35.0;[2, 2, 5, 11, 8, 4, 3]


Cora;own;random;0.2;64;0.5;1;0.005;649695571.0;0.0;0.0;[[]];[];0.20518244315177156;0.10076374595674085;[[20, 16, 137, 11, 9, 18, 4, 1, 5, 7, 17], [7, 13, 111, 0, 4, 0, 0, 8, 0, 4, 4], [5, 3, 254, 0, 2, 3, 0, 4, 0, 19, 2], [46, 96, 195, 35, 47, 31, 41, 28, 3, 10, 40], [4, 12, 73, 6, 39, 49, 28, 1, 7, 5, 74], [4, 22, 65, 14, 62, 12, 16, 2, 0, 0, 11], [4, 11, 41, 16, 20, 5, 15, 1, 3, 1, 8], [0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]];[0.2222222222222222, 0.07514450867052024, 0.2899543378995434, 0.4268292682926829, 0.21311475409836064, 0.1016949152542373, 0.14423076923076922, 0.0, 0.0, 0.0, 0.0];0.19706242350061198;0.09037029632792493;[[13, 7, 52, 1, 8, 7, 2, 1, 2, 1, 12], [4, 5, 39, 1, 0, 4, 1, 6, 0, 4, 2], [3, 2, 113, 0, 1, 0, 0, 3, 0, 3, 1], [23, 42, 85, 14, 17, 20, 17, 5, 1, 3, 19], [1, 3, 27, 1, 10, 31, 10, 0, 4, 2, 39], [2, 7, 27, 5, 32, 4, 9, 0, 0, 0, 4], [2, 4, 22, 4, 8, 8, 2, 0, 1, 0, 4], [0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]];[0.2708333333333333, 0.07142857142857142, 0.3095890410958904, 0.5384615384615384, 0.13157894736842105, 0.05405405405405406, 0.04878048780487805, 0.0, 0.0, 0.0, 0.0];0.0;[]
Cora;own;random;0.2;64;0.5;1;0.005;649695571.0;1.0;1.0;[[2, 0, 0, 0, 0, 0], [0, 1, 0, 0, 0, 0], [0, 0, 1, 0, 0, 0], [0, 0, 0, 3, 0, 0], [0, 0, 0, 0, 2, 0], [0, 0, 0, 0, 0, 2]];[1.0, 1.0, 1.0, 1.0, 1.0, 1.0];0.5484042553191489;0.47278491243986437;[[229, 7, 3, 3, 1, 6, 0], [5, 131, 17, 3, 0, 1, 0], [5, 6, 276, 1, 0, 2, 0], [166, 86, 98, 199, 0, 15, 0], [112, 61, 1, 31, 49, 36, 0], [46, 7, 7, 2, 0, 147, 0], [66, 13, 12, 1, 0, 29, 0]];[0.3640699523052464, 0.4212218649517685, 0.6666666666666666, 0.8291666666666667, 0.98, 0.6228813559322034, nan];0.5177478580171359;0.4472161467769032;[[97, 3, 1, 3, 0, 2, 0], [2, 56, 6, 1, 0, 1, 0], [8, 3, 114, 0, 1, 0, 0], [77, 44, 36, 82, 0, 7, 0], [55, 28, 2, 11, 17, 15, 0], [26, 4, 3, 0, 0, 57, 0], [36, 4, 2, 1, 0, 12, 0]];[0.3222591362126246, 0.39436619718309857, 0.6951219512195121, 0.8367346938775511, 0.9444444444444444, 0.6063829787234043, nan];11.0;[2, 1, 1, 3, 2, 2]
Cora;own;random;0.2;64;0.5;1;0.005;649695571.0;1.0;1.0;[[3, 0, 0, 0, 0, 0, 0], [0, 3, 0, 0, 0, 0, 0], [0, 0, 2, 0, 0, 0, 0], [0, 0, 0, 7, 0, 0, 0], [0, 0, 0, 0, 3, 0, 0], [0, 0, 0, 0, 0, 3, 0], [0, 0, 0, 0, 0, 0, 1]];[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0];0.6575708935259497;0.6256172912357801;[[254, 9, 7, 4, 1, 5, 2], [5, 129, 19, 1, 0, 1, 0], [3, 5, 289, 0, 0, 0, 0], [132, 47, 86, 257, 11, 16, 0], [66, 13, 3, 36, 144, 22, 0], [33, 6, 20, 2, 0, 134, 1], [34, 8, 26, 1, 0, 15, 22]];[0.4819734345351044, 0.5944700460829493, 0.6422222222222222, 0.8538205980066446, 0.9230769230769231, 0.694300518134715, 0.88];0.620563035495716;0.6099749917480445;[[95, 3, 3, 3, 0, 1, 1], [0, 53, 11, 1, 0, 1, 0], [1, 1, 124, 0, 0, 0, 0], [73, 19, 40, 101, 8, 5, 0], [32, 6, 5, 12, 65, 8, 0], [23, 4, 10, 0, 0, 53, 0], [16, 1, 12, 0, 0, 10, 16]];[0.3958333333333333, 0.6091954022988506, 0.6048780487804878, 0.8632478632478633, 0.8904109589041096, 0.6794871794871795, 0.9411764705882353];22.0;[3, 3, 2, 7, 3, 3, 1]
