dataset_name;sampler_name;subsampler;label_propagation_uncertainty_treshold;hidden_dim_size;dropout;distance_loss_weight;learning_rate;seed;Labeled accuracy;Labeled macro-f1;Labeled confusion;Labeled class accuracies;Unlabeled accuracy;Unlabeled macro-f1;Unlabeled confusion;Unlabeled class accuracies;Test accuracy;Test macro-f1;Test confusion;Test class accuracies;Budget used;Class distrubution
Cora;own;random;0;64;0.5;1;0.005;20795212.0;0.0;0.0;[[]];[];0.04336329984135378;0.03544607648928664;[[15, 1, 5, 19, 3, 3, 20, 94, 6, 62, 17], [15, 0, 0, 3, 0, 0, 7, 110, 1, 11, 4], [2, 33, 2, 2, 0, 2, 5, 17, 0, 227, 2], [30, 15, 19, 35, 21, 45, 117, 141, 5, 116, 28], [8, 16, 14, 34, 6, 7, 9, 94, 1, 89, 20], [16, 0, 0, 57, 2, 6, 20, 75, 0, 31, 1], [1, 1, 0, 8, 5, 4, 18, 50, 0, 38, 0], [0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]];[0.1724137931034483, 0.0, 0.05, 0.22151898734177214, 0.16216216216216217, 0.08955223880597014, 0.09183673469387756, 0.0, 0.0, 0.0, 0.0];0.04039167686658507;0.03453114193878958;[[5, 1, 0, 7, 4, 0, 7, 49, 0, 30, 3], [2, 1, 0, 0, 0, 2, 3, 48, 0, 8, 2], [0, 15, 1, 0, 0, 1, 1, 10, 0, 97, 1], [14, 5, 10, 15, 12, 11, 42, 52, 4, 67, 14], [4, 9, 8, 21, 1, 1, 3, 37, 1, 31, 12], [4, 0, 0, 24, 0, 1, 5, 40, 1, 14, 1], [0, 1, 0, 1, 7, 0, 9, 20, 0, 17, 0], [0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]];[0.1724137931034483, 0.03125, 0.05263157894736842, 0.22058823529411764, 0.041666666666666664, 0.0625, 0.12857142857142856, 0.0, 0.0, 0.0, 0.0];0.0;[]
Cora;own;random;0;64;0.5;1;0.005;20795212.0;0.9090909090909091;0.8939393939393939;[[1, 0, 0, 0], [0, 3, 0, 0], [0, 0, 5, 0], [0, 0, 1, 1]];[1.0, 1.0, 0.8333333333333334, 1.0];0.22872340425531915;0.11383263255902218;[[0, 3, 1, 30, 198, 0, 10, 3], [1, 8, 0, 14, 126, 0, 1, 0], [0, 0, 0, 15, 277, 0, 0, 0], [0, 6, 0, 123, 432, 0, 8, 0], [0, 1, 0, 5, 281, 0, 6, 0], [0, 0, 0, 40, 164, 0, 4, 0], [0, 0, 0, 23, 82, 0, 18, 0], [0, 0, 0, 0, 0, 0, 0, 0]];[0.0, 0.4444444444444444, 0.0, 0.492, 0.18012820512820513, nan, 0.3829787234042553, 0.0];0.23623011015911874;0.10520640425272579;[[0, 1, 0, 11, 86, 0, 7, 1], [0, 0, 1, 10, 55, 0, 0, 0], [0, 0, 0, 11, 114, 0, 0, 1], [0, 5, 0, 57, 181, 0, 3, 0], [0, 0, 0, 0, 128, 0, 0, 0], [0, 0, 0, 24, 62, 0, 4, 0], [0, 1, 0, 8, 38, 0, 8, 0], [0, 0, 0, 0, 0, 0, 0, 0]];[nan, 0.0, 0.0, 0.47107438016528924, 0.1927710843373494, nan, 0.36363636363636365, 0.0];11.0;[0, 1, 0, 3, 5, 0, 2]
Cora;own;random;0;64;0.5;1;0.005;20795212.0;0.7727272727272727;0.6985347985347986;[[1, 0, 0, 0, 1, 0, 0], [1, 1, 0, 0, 0, 0, 0], [0, 0, 1, 0, 1, 0, 0], [0, 0, 0, 6, 0, 0, 0], [0, 0, 0, 0, 6, 0, 0], [0, 0, 0, 1, 0, 1, 0], [0, 0, 0, 0, 1, 0, 1]];[0.5, 1.0, 1.0, 0.8571428571428571, 0.6666666666666666, 1.0, 1.0];0.4376672017121455;0.2379414480813392;[[2, 8, 1, 41, 176, 1, 14, 0, 0], [6, 103, 1, 18, 19, 1, 1, 0, 0], [0, 24, 20, 60, 181, 1, 2, 1, 1], [3, 10, 1, 407, 135, 0, 10, 0, 0], [1, 0, 0, 28, 262, 0, 1, 0, 0], [0, 21, 1, 76, 96, 4, 6, 1, 1], [0, 5, 0, 26, 72, 0, 20, 0, 0], [0, 0, 0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0, 0, 0]];[0.16666666666666666, 0.6023391812865497, 0.8333333333333334, 0.6204268292682927, 0.2784272051009564, 0.5714285714285714, 0.37037037037037035, 0.0, 0.0];0.45777233782129745;0.25018829058265957;[[1, 6, 0, 23, 67, 1, 7, 0, 1], [0, 49, 1, 7, 9, 0, 0, 0, 0], [0, 13, 8, 19, 82, 0, 2, 1, 1], [3, 3, 1, 184, 54, 0, 1, 0, 0], [0, 1, 0, 8, 119, 0, 0, 0, 0], [0, 7, 1, 33, 46, 1, 2, 0, 0], [0, 6, 0, 9, 28, 0, 12, 0, 0], [0, 0, 0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0, 0, 0]];[0.25, 0.5764705882352941, 0.7272727272727273, 0.6501766784452296, 0.2938271604938272, 0.5, 0.5, 0.0, 0.0];22.0;[2, 2, 2, 6, 6, 2, 2]
Cora;own;random;0;64;0.5;1;0.005;20795212.0;0.9090909090909091;0.8522144522144524;[[5, 0, 0, 0, 0, 0, 0], [1, 2, 0, 0, 0, 0, 0], [0, 0, 6, 0, 0, 0, 0], [0, 0, 0, 7, 0, 0, 0], [0, 0, 0, 0, 7, 0, 0], [0, 0, 1, 0, 0, 2, 0], [0, 0, 0, 0, 0, 1, 1]];[0.8333333333333334, 1.0, 0.8571428571428571, 1.0, 1.0, 0.6666666666666666, 1.0];0.7201291711517761;0.5158381993464227;[[172, 1, 16, 12, 13, 21, 1, 3, 1], [12, 100, 25, 2, 5, 4, 0, 0, 0], [2, 0, 275, 2, 6, 1, 0, 0, 0], [53, 11, 38, 406, 36, 16, 2, 0, 3], [23, 0, 2, 28, 233, 3, 0, 0, 2], [20, 9, 24, 10, 10, 130, 2, 0, 0], [18, 8, 13, 8, 5, 42, 22, 7, 0], [0, 0, 0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0, 0, 0]];[0.5733333333333334, 0.7751937984496124, 0.6997455470737913, 0.8675213675213675, 0.7564935064935064, 0.5990783410138248, 0.8148148148148148, 0.0, 0.0];0.7148102815177478;0.5805178310476355;[[74, 1, 7, 8, 7, 8, 0, 1], [4, 43, 13, 2, 4, 0, 0, 0], [1, 0, 121, 3, 1, 0, 0, 0], [19, 3, 15, 182, 22, 5, 0, 0], [10, 2, 1, 9, 101, 5, 0, 0], [14, 7, 13, 3, 6, 47, 0, 0], [13, 9, 4, 1, 1, 11, 16, 0], [0, 0, 0, 0, 0, 0, 0, 0]];[0.5481481481481482, 0.6615384615384615, 0.6954022988505747, 0.875, 0.7112676056338029, 0.618421052631579, 1.0, 0.0];33.0;[5, 3, 6, 7, 7, 3, 2]
Cora;own;random;0;64;0.5;1;0.005;20795212.0;0.9428571428571428;0.9166666666666667;[[5, 0, 0, 0, 0, 0, 0], [0, 3, 0, 0, 0, 0, 0], [0, 0, 6, 0, 0, 0, 0], [0, 0, 0, 7, 0, 0, 0], [0, 0, 0, 0, 7, 0, 0], [0, 0, 0, 0, 0, 3, 1], [0, 0, 0, 0, 0, 1, 2]];[1.0, 1.0, 1.0, 1.0, 1.0, 0.75, 0.6666666666666666];0.734375;0.6132395240832649;[[151, 4, 8, 23, 12, 30, 11, 1], [5, 93, 18, 4, 6, 4, 18, 0], [0, 3, 275, 2, 3, 3, 0, 0], [34, 4, 46, 421, 35, 16, 7, 2], [16, 0, 2, 41, 227, 4, 1, 0], [19, 12, 10, 12, 7, 135, 9, 0], [11, 0, 2, 9, 2, 37, 61, 0], [0, 0, 0, 0, 0, 0, 0, 0]];[0.6398305084745762, 0.8017241379310345, 0.7617728531855956, 0.822265625, 0.7773972602739726, 0.5895196506550219, 0.5700934579439252, 0.0];0.7282741738066095;0.6016721551783603;[[64, 1, 5, 11, 7, 9, 9, 0], [2, 42, 6, 3, 4, 0, 9, 0], [1, 0, 121, 3, 1, 0, 0, 0], [14, 1, 15, 188, 19, 3, 5, 1], [7, 1, 1, 10, 103, 5, 1, 0], [11, 5, 9, 3, 2, 48, 12, 0], [6, 0, 2, 3, 0, 15, 29, 0], [0, 0, 0, 0, 0, 0, 0, 0]];[0.6095238095238096, 0.84, 0.7610062893081762, 0.8506787330316742, 0.7573529411764706, 0.6, 0.4461538461538462, 0.0];35.0;[5, 3, 6, 7, 7, 4, 3]


Cora;own;random;0;64;0.5;1;0.005;649695571.0;0.0;0.0;[[]];[];0.20518244315177156;0.10076374595674085;[[20, 16, 137, 11, 9, 18, 4, 1, 5, 7, 17], [7, 13, 111, 0, 4, 0, 0, 8, 0, 4, 4], [5, 3, 254, 0, 2, 3, 0, 4, 0, 19, 2], [46, 96, 195, 35, 47, 31, 41, 28, 3, 10, 40], [4, 12, 73, 6, 39, 49, 28, 1, 7, 5, 74], [4, 22, 65, 14, 62, 12, 16, 2, 0, 0, 11], [4, 11, 41, 16, 20, 5, 15, 1, 3, 1, 8], [0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]];[0.2222222222222222, 0.07514450867052024, 0.2899543378995434, 0.4268292682926829, 0.21311475409836064, 0.1016949152542373, 0.14423076923076922, 0.0, 0.0, 0.0, 0.0];0.19706242350061198;0.09037029632792493;[[13, 7, 52, 1, 8, 7, 2, 1, 2, 1, 12], [4, 5, 39, 1, 0, 4, 1, 6, 0, 4, 2], [3, 2, 113, 0, 1, 0, 0, 3, 0, 3, 1], [23, 42, 85, 14, 17, 20, 17, 5, 1, 3, 19], [1, 3, 27, 1, 10, 31, 10, 0, 4, 2, 39], [2, 7, 27, 5, 32, 4, 9, 0, 0, 0, 4], [2, 4, 22, 4, 8, 8, 2, 0, 1, 0, 4], [0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]];[0.2708333333333333, 0.07142857142857142, 0.3095890410958904, 0.5384615384615384, 0.13157894736842105, 0.05405405405405406, 0.04878048780487805, 0.0, 0.0, 0.0, 0.0];0.0;[]
Cora;own;random;0;64;0.5;1;0.005;649695571.0;0.8181818181818182;0.8095238095238094;[[1, 1, 0, 0, 0, 0], [0, 1, 0, 0, 0, 0], [0, 0, 1, 0, 0, 0], [0, 0, 0, 3, 0, 0], [0, 0, 0, 1, 1, 0], [0, 0, 0, 0, 0, 2]];[1.0, 0.5, 1.0, 0.75, 1.0, 1.0];0.475;0.3502896337927987;[[18, 101, 0, 98, 4, 22, 0], [0, 133, 8, 9, 0, 0, 0], [0, 112, 107, 51, 1, 20, 0], [3, 66, 3, 479, 1, 17, 0], [0, 55, 2, 188, 35, 16, 0], [3, 56, 0, 25, 1, 121, 0], [0, 59, 1, 36, 10, 19, 0]];[0.75, 0.22852233676975944, 0.8842975206611571, 0.5406320541760722, 0.6730769230769231, 0.5627906976744186, nan];0.4602203182374541;0.3324297367884433;[[7, 47, 1, 42, 1, 8, 0], [0, 59, 3, 4, 0, 0, 0], [0, 54, 37, 23, 1, 11, 0], [1, 32, 1, 207, 2, 3, 0], [0, 29, 0, 80, 13, 6, 0], [1, 25, 0, 11, 0, 53, 0], [0, 20, 1, 19, 4, 11, 0]];[0.7777777777777778, 0.22180451127819548, 0.8604651162790697, 0.5362694300518135, 0.6190476190476191, 0.5760869565217391, nan];11.0;[2, 1, 1, 3, 2, 2]
Cora;own;random;0;64;0.5;1;0.005;649695571.0;0.8636363636363636;0.8671957671957672;[[2, 0, 0, 0, 1, 0], [0, 2, 0, 0, 0, 0], [0, 0, 2, 1, 0, 0], [0, 0, 0, 3, 0, 0], [0, 0, 0, 0, 6, 1], [0, 0, 0, 0, 0, 4]];[1.0, 1.0, 1.0, 0.75, 0.8571428571428571, 0.8];0.5628678437667202;0.4402279621142614;[[117, 9, 0, 11, 63, 42, 0, 0], [10, 113, 12, 5, 7, 2, 0, 0], [10, 14, 171, 13, 33, 48, 0, 0], [64, 8, 15, 353, 82, 47, 0, 0], [64, 5, 4, 56, 132, 30, 0, 0], [20, 4, 0, 3, 11, 166, 0, 0], [16, 6, 1, 3, 62, 36, 0, 1], [0, 0, 0, 0, 0, 0, 0, 0]];[0.38870431893687707, 0.710691823899371, 0.8423645320197044, 0.795045045045045, 0.3384615384615385, 0.4474393530997305, nan, 0.0];0.5691554467564259;0.44121661261088013;[[50, 3, 0, 9, 25, 19, 0, 0], [2, 55, 4, 2, 3, 0, 0, 0], [5, 12, 69, 1, 18, 21, 0, 0], [30, 5, 5, 159, 27, 19, 0, 1], [29, 2, 0, 14, 62, 21, 0, 0], [10, 3, 0, 1, 6, 70, 0, 0], [10, 2, 1, 0, 21, 21, 0, 0], [0, 0, 0, 0, 0, 0, 0, 0]];[0.36764705882352944, 0.6707317073170732, 0.8734177215189873, 0.8548387096774194, 0.38271604938271603, 0.4093567251461988, nan, 0.0];22.0;[3, 2, 3, 3, 7, 4]
