dataset_name;sampler_name;subsampler;label_propagation_uncertainty_treshold;hidden_dim_size;dropout;distance_loss_weight;learning_rate;seed;Labeled accuracy;Labeled macro-f1;Labeled confusion;Labeled class accuracies;Unlabeled accuracy;Unlabeled macro-f1;Unlabeled confusion;Unlabeled class accuracies;Test accuracy;Test macro-f1;Test confusion;Test class accuracies;Budget used;Class distrubution
Cora;own;own;0.2;64;0.5;1;0.005;20795212.0;0.0;0.0;[[]];[];0.13749338974087785;0.1255938931472691;[[32, 36, 38, 33, 37, 37, 32], [20, 13, 20, 24, 22, 21, 31], [46, 40, 39, 47, 46, 29, 45], [88, 75, 81, 94, 80, 79, 75], [43, 35, 49, 41, 40, 50, 40], [22, 33, 34, 29, 34, 23, 33], [13, 27, 17, 19, 20, 10, 19]];[0.12121212121212122, 0.05019305019305019, 0.14028776978417265, 0.32752613240418116, 0.14336917562724014, 0.09236947791164658, 0.06909090909090909];0.1456548347613219;0.1392095304479121;[[21, 15, 14, 12, 15, 16, 13], [11, 11, 6, 9, 8, 11, 10], [12, 13, 17, 26, 15, 23, 20], [28, 36, 30, 33, 42, 50, 27], [22, 19, 15, 19, 17, 22, 14], [13, 13, 16, 7, 17, 14, 10], [9, 3, 10, 11, 6, 10, 6]];[0.1810344827586207, 0.1, 0.1574074074074074, 0.28205128205128205, 0.14166666666666666, 0.0958904109589041, 0.06];0.0;[]
Cora;own;own;0.2;64;0.5;1;0.005;20795212.0;1.0;1.0;[[1, 0, 0, 0], [0, 6, 0, 0], [0, 0, 3, 0], [0, 0, 0, 1]];[1.0, 1.0, 1.0, 1.0];0.3973404255319149;0.2679130614619627;[[2, 27, 3, 190, 12, 5, 3], [0, 130, 0, 22, 5, 1, 0], [2, 31, 1, 220, 1, 5, 4], [16, 36, 19, 465, 25, 13, 22], [17, 35, 8, 87, 119, 17, 9], [6, 70, 8, 98, 9, 7, 7], [3, 14, 2, 74, 4, 3, 23]];[0.043478260869565216, 0.37900874635568516, 0.024390243902439025, 0.4022491349480969, 0.68, 0.13725490196078433, 0.3382352941176471];0.3635250917992656;0.23110094378342816;[[2, 14, 2, 81, 4, 0, 3], [1, 49, 0, 9, 4, 2, 1], [1, 14, 0, 109, 1, 0, 1], [8, 15, 8, 190, 19, 3, 3], [4, 21, 3, 38, 50, 8, 4], [3, 22, 3, 51, 6, 1, 4], [0, 7, 2, 34, 4, 3, 5]];[0.10526315789473684, 0.34507042253521125, 0.0, 0.37109375, 0.5681818181818182, 0.058823529411764705, 0.23809523809523808];11.0;[0, 1, 0, 6, 3, 0, 1]
Cora;own;own;0.2;64;0.5;1;0.005;20795212.0;1.0;1.0;[[1, 0, 0, 0, 0], [0, 2, 0, 0, 0], [0, 0, 10, 0, 0], [0, 0, 0, 8, 0], [0, 0, 0, 0, 1]];[1.0, 1.0, 1.0, 1.0, 1.0];0.5222043873729267;0.41267852427142787;[[3, 21, 13, 184, 13, 1, 3], [0, 126, 5, 19, 5, 1, 0], [1, 9, 193, 62, 2, 0, 3], [16, 40, 35, 435, 33, 16, 14], [7, 13, 3, 66, 188, 7, 6], [6, 48, 40, 91, 8, 5, 5], [0, 12, 10, 67, 7, 1, 26]];[0.09090909090909091, 0.4684014869888476, 0.6454849498327759, 0.4707792207792208, 0.734375, 0.16129032258064516, 0.45614035087719296];0.49938800489596086;0.37112924274131104;[[1, 15, 4, 78, 6, 1, 1], [0, 47, 2, 8, 7, 0, 2], [1, 12, 80, 31, 1, 0, 1], [7, 17, 11, 182, 17, 8, 4], [5, 4, 2, 22, 91, 1, 3], [3, 19, 17, 41, 2, 4, 4], [2, 7, 5, 31, 7, 0, 3]];[0.05263157894736842, 0.3884297520661157, 0.6611570247933884, 0.4631043256997455, 0.6946564885496184, 0.2857142857142857, 0.16666666666666666];22.0;[0, 1, 2, 10, 8, 0, 1]
Cora;own;own;0.2;64;0.5;1;0.005;20795212.0;1.0;1.0;[[1, 0, 0, 0, 0, 0, 0], [0, 2, 0, 0, 0, 0, 0], [0, 0, 2, 0, 0, 0, 0], [0, 0, 0, 14, 0, 0, 0], [0, 0, 0, 0, 10, 0, 0], [0, 0, 0, 0, 0, 2, 0], [0, 0, 0, 0, 0, 0, 2]];[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0];0.46609257265877285;0.38878539859866673;[[6, 49, 10, 149, 10, 2, 2], [0, 158, 4, 34, 0, 0, 0], [1, 39, 165, 49, 2, 4, 1], [14, 171, 22, 320, 26, 6, 13], [7, 25, 5, 58, 182, 5, 5], [4, 81, 18, 74, 5, 10, 6], [0, 37, 3, 44, 6, 1, 25]];[0.1875, 0.28214285714285714, 0.7268722466960352, 0.43956043956043955, 0.7878787878787878, 0.35714285714285715, 0.4807692307692308];0.4565483476132191;0.37746651134515924;[[9, 30, 1, 62, 3, 1, 0], [1, 56, 1, 3, 2, 1, 2], [0, 24, 78, 24, 0, 0, 0], [5, 70, 10, 130, 20, 3, 8], [2, 9, 2, 22, 88, 1, 4], [2, 30, 11, 34, 2, 6, 5], [2, 14, 5, 25, 3, 0, 6]];[0.42857142857142855, 0.24034334763948498, 0.7222222222222222, 0.43333333333333335, 0.7457627118644068, 0.5, 0.24];33.0;[1, 2, 2, 14, 10, 2, 2]
Cora;own;own;0.2;64;0.5;1;0.005;20795212.0;1.0;1.0;[[1, 0, 0, 0, 0, 0, 0], [0, 2, 0, 0, 0, 0, 0], [0, 0, 2, 0, 0, 0, 0], [0, 0, 0, 15, 0, 0, 0], [0, 0, 0, 0, 10, 0, 0], [0, 0, 0, 0, 0, 2, 0], [0, 0, 0, 0, 0, 0, 3]];[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0];0.4665948275862069;0.38509297031855255;[[7, 49, 7, 149, 8, 6, 2], [0, 160, 4, 32, 0, 0, 0], [3, 37, 165, 48, 5, 3, 0], [11, 166, 26, 320, 20, 12, 16], [3, 27, 6, 60, 185, 2, 4], [6, 79, 21, 79, 5, 4, 4], [3, 35, 4, 43, 5, 0, 25]];[0.21212121212121213, 0.28933092224231466, 0.7081545064377682, 0.4377564979480164, 0.8114035087719298, 0.14814814814814814, 0.49019607843137253];0.4602203182374541;0.38285147982124634;[[9, 28, 1, 63, 4, 0, 1], [0, 58, 2, 3, 2, 1, 0], [1, 25, 77, 23, 0, 0, 0], [2, 77, 5, 132, 19, 6, 5], [4, 8, 8, 20, 87, 1, 0], [3, 28, 11, 36, 2, 7, 3], [1, 17, 2, 25, 3, 1, 6]];[0.45, 0.24066390041493776, 0.7264150943396226, 0.4370860927152318, 0.7435897435897436, 0.4375, 0.4];35.0;[1, 2, 2, 15, 10, 2, 3]


Cora;own;own;0.2;64;0.5;1;0.005;649695571.0;0.0;0.0;[[]];[];0.12903225806451613;0.12054821777511784;[[38, 35, 37, 29, 31, 32, 43], [26, 22, 25, 23, 20, 15, 20], [55, 32, 30, 48, 45, 39, 43], [93, 89, 73, 83, 74, 78, 82], [33, 41, 43, 37, 33, 68, 43], [38, 31, 30, 25, 26, 22, 36], [18, 16, 17, 13, 20, 25, 16]];[0.12624584717607973, 0.08270676691729323, 0.11764705882352941, 0.32170542635658916, 0.13253012048192772, 0.07885304659498207, 0.05653710247349823];0.15055079559363524;0.1472635442755649;[[16, 21, 10, 17, 10, 15, 17], [7, 8, 15, 6, 11, 7, 12], [18, 22, 18, 17, 17, 19, 15], [40, 41, 38, 27, 37, 34, 29], [17, 20, 14, 13, 27, 25, 12], [14, 11, 15, 9, 9, 16, 16], [8, 7, 2, 10, 5, 12, 11]];[0.13333333333333333, 0.06153846153846154, 0.16071428571428573, 0.2727272727272727, 0.23275862068965517, 0.125, 0.09821428571428571];0.0;[]
Cora;own;own;0.2;64;0.5;1;0.005;649695571.0;1.0;1.0;[[3, 0, 0, 0, 0, 0], [0, 1, 0, 0, 0, 0], [0, 0, 2, 0, 0, 0], [0, 0, 0, 2, 0, 0], [0, 0, 0, 0, 2, 0], [0, 0, 0, 0, 0, 1]];[1.0, 1.0, 1.0, 1.0, 1.0, 1.0];0.43617021276595747;0.40388643119899736;[[136, 14, 11, 42, 19, 4, 26], [12, 106, 35, 5, 1, 0, 7], [8, 8, 273, 2, 1, 4, 2], [116, 164, 52, 102, 64, 22, 37], [46, 33, 21, 30, 128, 13, 24], [11, 62, 37, 46, 3, 8, 18], [15, 9, 6, 17, 9, 4, 67]];[0.3953488372093023, 0.2676767676767677, 0.6275862068965518, 0.4180327868852459, 0.5688888888888889, 0.14545454545454545, 0.3701657458563536];0.40636474908200737;0.38195103579677486;[[43, 12, 4, 16, 14, 0, 17], [4, 39, 14, 4, 1, 0, 4], [3, 2, 115, 2, 0, 1, 3], [71, 67, 28, 38, 18, 4, 20], [24, 12, 10, 12, 58, 7, 5], [6, 25, 16, 25, 2, 4, 12], [2, 6, 7, 4, 0, 1, 35]];[0.28104575163398693, 0.2392638036809816, 0.5927835051546392, 0.37623762376237624, 0.6236559139784946, 0.23529411764705882, 0.3645833333333333];11.0;[3, 1, 2, 2, 2, 0, 1]
Cora;own;own;0.2;64;0.5;1;0.005;649695571.0;1.0;1.0;[[5, 0, 0, 0, 0, 0], [0, 2, 0, 0, 0, 0], [0, 0, 2, 0, 0, 0], [0, 0, 0, 6, 0, 0], [0, 0, 0, 0, 5, 0], [0, 0, 0, 0, 0, 2]];[1.0, 1.0, 1.0, 1.0, 1.0, 1.0];0.4794007490636704;0.4547617094562662;[[134, 42, 3, 33, 15, 4, 17], [9, 192, 13, 0, 0, 0, 3], [8, 27, 236, 1, 1, 2, 1], [110, 199, 34, 108, 38, 18, 32], [34, 47, 6, 23, 147, 12, 17], [14, 114, 12, 23, 5, 2, 9], [11, 12, 5, 13, 4, 2, 77]];[0.41875, 0.3033175355450237, 0.7637540453074434, 0.5373134328358209, 0.7, 0.05, 0.4935897435897436];0.40514075887392903;0.3922736715021221;[[43, 22, 3, 15, 9, 0, 14], [1, 56, 5, 2, 1, 0, 1], [4, 22, 97, 2, 0, 1, 0], [63, 92, 15, 41, 9, 11, 15], [14, 24, 7, 13, 62, 4, 4], [7, 48, 8, 17, 0, 1, 9], [3, 6, 5, 6, 2, 2, 31]];[0.31851851851851853, 0.2074074074074074, 0.6928571428571428, 0.4270833333333333, 0.7469879518072289, 0.05263157894736842, 0.4189189189189189];22.0;[5, 2, 2, 6, 5, 0, 2]
