dataset_name;sampler_name;subsampler;label_propagation_uncertainty_treshold;hidden_dim_size;dropout;distance_loss_weight;learning_rate;seed;Labeled accuracy;Labeled macro-f1;Labeled confusion;Labeled class accuracies;Unlabeled accuracy;Unlabeled macro-f1;Unlabeled confusion;Unlabeled class accuracies;Test accuracy;Test macro-f1;Test confusion;Test class accuracies;Budget used;Class distrubution
CiteSeer;own;random;0.2;64;0.5;1;0.005;20795212.0;0.0;0.0;[[]];[];0.16165090283748926;0.1572917574790174;[[30, 23, 39, 32, 31, 29], [66, 67, 58, 68, 76, 78], [83, 74, 83, 74, 77, 76], [75, 72, 88, 88, 80, 87], [72, 72, 68, 75, 64, 66], [51, 67, 63, 65, 65, 44]];[0.07957559681697612, 0.17866666666666667, 0.20802005012531327, 0.21890547263681592, 0.1628498727735369, 0.11578947368421053];0.17482517482517482;0.17148634383052583;[[14, 15, 14, 14, 11, 12], [30, 35, 28, 22, 27, 35], [24, 25, 38, 36, 41, 37], [38, 32, 38, 31, 47, 25], [31, 26, 26, 32, 31, 33], [20, 35, 22, 20, 30, 26]];[0.08917197452229299, 0.20833333333333334, 0.2289156626506024, 0.2, 0.1657754010695187, 0.15476190476190477];0.0;[]
CiteSeer;own;random;0.2;64;0.5;1;0.005;20795212.0;1.0;1.0;[[1, 0, 0, 0, 0, 0], [0, 3, 0, 0, 0, 0], [0, 0, 4, 0, 0, 0], [0, 0, 0, 2, 0, 0], [0, 0, 0, 0, 1, 0], [0, 0, 0, 0, 0, 2]];[1.0, 1.0, 1.0, 1.0, 1.0, 1.0];0.34457414613056636;0.2990497418342779;[[22, 35, 38, 29, 36, 22], [48, 97, 107, 49, 52, 55], [30, 29, 340, 29, 31, 11], [67, 74, 123, 74, 82, 68], [42, 57, 43, 37, 196, 37], [52, 51, 66, 44, 72, 68]];[0.0842911877394636, 0.282798833819242, 0.47419804741980476, 0.2824427480916031, 0.417910447761194, 0.26053639846743293];0.33766233766233766;0.2984515261637057;[[14, 12, 15, 12, 16, 11], [22, 30, 51, 23, 29, 22], [13, 13, 140, 13, 13, 9], [36, 38, 35, 31, 32, 39], [21, 19, 23, 14, 89, 13], [22, 25, 31, 16, 25, 34]];[0.109375, 0.21897810218978103, 0.4745762711864407, 0.28440366972477066, 0.4362745098039216, 0.265625];13.0;[1, 3, 4, 2, 1, 2]
CiteSeer;own;random;0.2;64;0.5;1;0.005;20795212.0;0.9230769230769231;0.9398148148148149;[[1, 0, 0, 0, 0, 0], [0, 4, 0, 0, 0, 0], [0, 0, 4, 0, 0, 0], [0, 0, 0, 3, 1, 0], [0, 0, 0, 1, 8, 0], [0, 0, 0, 0, 0, 4]];[1.0, 1.0, 1.0, 0.75, 0.8888888888888888, 1.0];0.3791304347826087;0.3281056274435175;[[22, 24, 39, 32, 41, 23], [51, 78, 125, 52, 54, 47], [22, 24, 345, 27, 33, 19], [57, 80, 111, 92, 77, 66], [22, 37, 31, 35, 248, 38], [36, 46, 58, 52, 69, 87]];[0.10476190476190476, 0.2698961937716263, 0.48660084626234135, 0.31724137931034485, 0.47509578544061304, 0.3107142857142857];0.37962037962037964;0.33390999930224524;[[9, 15, 11, 15, 19, 11], [34, 23, 44, 24, 27, 25], [13, 13, 138, 12, 17, 8], [27, 28, 40, 48, 42, 26], [13, 15, 12, 12, 111, 16], [19, 18, 21, 17, 27, 51]];[0.0782608695652174, 0.20535714285714285, 0.518796992481203, 0.375, 0.4567901234567901, 0.3722627737226277];26.0;[1, 4, 4, 4, 9, 4]
CiteSeer;own;random;0.2;64;0.5;1;0.005;20795212.0;0.9333333333333333;0.9576719576719577;[[1, 0, 0, 0, 0, 0], [0, 5, 0, 0, 0, 0], [0, 0, 4, 0, 0, 0], [0, 0, 0, 6, 1, 0], [0, 0, 0, 1, 8, 0], [0, 0, 0, 0, 0, 4]];[1.0, 1.0, 1.0, 0.8571428571428571, 0.8888888888888888, 1.0];0.4133275261324042;0.36536310377942494;[[22, 30, 38, 27, 39, 25], [38, 98, 109, 49, 55, 57], [21, 26, 327, 40, 27, 28], [54, 58, 94, 138, 81, 56], [24, 23, 32, 37, 261, 34], [31, 32, 66, 42, 74, 103]];[0.11578947368421053, 0.36704119850187267, 0.49099099099099097, 0.4144144144144144, 0.4860335195530726, 0.33993399339933994];0.4145854145854146;0.3719541298760267;[[14, 17, 11, 13, 18, 7], [25, 30, 51, 17, 30, 24], [11, 14, 144, 14, 10, 8], [25, 26, 35, 59, 37, 29], [9, 15, 11, 16, 111, 17], [16, 16, 29, 11, 24, 57]];[0.14, 0.2542372881355932, 0.5124555160142349, 0.45384615384615384, 0.4826086956521739, 0.4014084507042254];30.0;[1, 5, 4, 7, 9, 4]


CiteSeer;own;random;0.2;64;0.5;1;0.005;649695571.0;0.0;0.0;[[]];[];0.16852966466036112;0.16538485081331333;[[30, 39, 30, 32, 26, 27], [79, 67, 62, 72, 63, 70], [70, 71, 77, 82, 73, 94], [84, 85, 77, 78, 91, 75], [65, 72, 77, 66, 72, 65], [66, 45, 61, 61, 54, 68]];[0.07614213197969544, 0.17678100263852242, 0.20052083333333334, 0.19948849104859334, 0.18997361477572558, 0.17042606516290726];0.17782217782217782;0.1718584727728273;[[9, 10, 19, 13, 14, 15], [33, 32, 29, 30, 25, 28], [35, 29, 41, 38, 23, 35], [31, 30, 32, 40, 35, 43], [36, 38, 25, 21, 27, 32], [28, 28, 23, 23, 22, 29]];[0.05232558139534884, 0.19161676646706588, 0.24260355029585798, 0.24242424242424243, 0.18493150684931506, 0.15934065934065933];0.0;[]
CiteSeer;own;random;0.2;64;0.5;1;0.005;649695571.0;1.0;1.0;[[3, 0, 0, 0, 0], [0, 5, 0, 0, 0], [0, 0, 2, 0, 0], [0, 0, 0, 2, 0], [0, 0, 0, 0, 1]];[1.0, 1.0, 1.0, 1.0, 1.0];0.3545179420665802;0.3073703461534472;[[24, 28, 46, 22, 45, 17], [49, 89, 112, 61, 54, 42], [21, 52, 294, 54, 33, 18], [49, 59, 149, 117, 69, 49], [33, 29, 33, 31, 250, 33], [41, 49, 88, 49, 78, 46]];[0.11059907834101383, 0.2908496732026144, 0.407202216066482, 0.3502994011976048, 0.4725897920604915, 0.22439024390243903];0.33466533466533466;0.2910261634735719;[[12, 13, 20, 10, 17, 8], [19, 42, 46, 25, 29, 16], [14, 26, 118, 17, 13, 13], [23, 32, 54, 48, 30, 24], [13, 11, 19, 20, 103, 13], [24, 17, 38, 28, 34, 12]];[0.11428571428571428, 0.2978723404255319, 0.4, 0.32432432432432434, 0.4557522123893805, 0.13953488372093023];13.0;[0, 3, 5, 2, 2, 1]
CiteSeer;own;random;0.2;64;0.5;1;0.005;649695571.0;1.0;1.0;[[7, 0, 0, 0, 0], [0, 6, 0, 0, 0], [0, 0, 6, 0, 0], [0, 0, 0, 5, 0], [0, 0, 0, 0, 2]];[1.0, 1.0, 1.0, 1.0, 1.0];0.4026086956521739;0.36392342995804206;[[26, 26, 45, 14, 37, 31], [49, 96, 112, 42, 55, 48], [22, 45, 300, 62, 27, 18], [47, 55, 158, 117, 65, 49], [21, 30, 31, 38, 260, 27], [45, 29, 53, 34, 59, 127]];[0.12380952380952381, 0.3416370106761566, 0.4291845493562232, 0.3811074918566775, 0.5168986083499006, 0.42333333333333334];0.3776223776223776;0.3437450620223808;[[10, 12, 17, 10, 20, 11], [16, 44, 45, 26, 27, 19], [8, 30, 116, 23, 11, 13], [27, 27, 54, 47, 27, 29], [10, 13, 18, 19, 107, 12], [14, 20, 22, 20, 23, 54]];[0.11764705882352941, 0.3013698630136986, 0.4264705882352941, 0.32413793103448274, 0.49767441860465117, 0.391304347826087];26.0;[0, 7, 6, 6, 5, 2]
CiteSeer;own;random;0.2;64;0.5;1;0.005;649695571.0;1.0;1.0;[[7, 0, 0, 0, 0], [0, 6, 0, 0, 0], [0, 0, 7, 0, 0], [0, 0, 0, 5, 0], [0, 0, 0, 0, 5]];[1.0, 1.0, 1.0, 1.0, 1.0];0.41114982578397213;0.37288154498236586;[[30, 17, 41, 23, 39, 29], [36, 95, 107, 51, 62, 51], [18, 52, 302, 56, 25, 20], [50, 54, 145, 122, 68, 52], [19, 27, 35, 30, 265, 30], [28, 29, 65, 37, 56, 130]];[0.16574585635359115, 0.3467153284671533, 0.43453237410071943, 0.3824451410658307, 0.5145631067961165, 0.4166666666666667];0.3996003996003996;0.363900157087825;[[11, 12, 22, 7, 13, 15], [16, 44, 51, 20, 22, 24], [11, 26, 119, 19, 16, 10], [26, 23, 41, 62, 30, 29], [8, 9, 20, 20, 110, 12], [15, 14, 22, 23, 25, 54]];[0.12643678160919541, 0.34375, 0.43272727272727274, 0.4105960264900662, 0.5092592592592593, 0.375];30.0;[0, 7, 6, 7, 5, 5]
